Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Рязанский,Titanium,Gym,"ул. Паперника, 9",55.72070094079466,37.78730393661505
Некрасовка,Апельсин,Gym / Fitness Center,2-я Вольская 11к4,55.690096021155775,37.9251956864919
Лефортово,Территория фитнеса,Gym / Fitness Center,"ТРК «СпортЕХ» (5-я Кабельная ул., 2)",55.73768330800313,37.716543381682186
Нижегородский,BB-sport Lipovoy Gym,Martial Arts Dojo,"Смирновская ул., 25",55.73719825188034,37.713951607187035
Лефортово,Скалодром X8,Climbing Gym,Россия,55.738038661117976,37.71689771910203
Нижегородский,Русич,Martial Arts Dojo,"Смирновская ул., 25, стр. 15",55.73724550962197,37.71395406095321
Косино-Ухтомский,"ФОК ""Атлант-Косино""",Gym / Fitness Center,"Бол. Косинская ул., 5а (Муромская ул.), 111621",55.7124559976671,37.853968287447906
Косино-Ухтомский,"Смешанные единоборства и кроссфит в клубе ""Молот""",Martial Arts Dojo,Большая Косинская 5а,55.712678809233545,37.854094141964325
Лефортово,5 БАЛЛОВ,Gym,"Станция метро Авиамоторная, ул, Авиамоторная 40, 111024",55.74193145355125,37.72078295169175
Косино-Ухтомский,Качалкус,Gym / Fitness Center,"Дмитриевского, 3, 111675",55.70989776945241,37.88351256323508
Косино-Ухтомский,Экспресс Фитнес,Gym / Fitness Center,Дмитриевского 10,55.708904431612304,37.88532909414371
Косино-Ухтомский,Стрекоза СпортЗал,Gym / Fitness Center,Святоозерская улица,55.71096174317229,37.89501730551277
Лосиноостровский,"Клуб единоборств ""Сварог""",Boxing Gym,Россия,55.8782632798025,37.70167677218826
Лосиноостровский,Fitland,Gym,"Малыгина д. 3 стр.2, 129346 ‎",55.8777928383715,37.69998898213589
Лианозово,Спортивный Центр ИМА ЛИАНОЗОВО,Gym,"ул.Абрамцевская д.9 к.1, город Москва",55.9048605380922,37.57184565843576
Лосиноостровский,гранат,Gym / Fitness Center,Россия,55.88287298328903,37.68598808805879
Лосиноостровский,Фитнес Лэнд,Gym,Анадырский проезд д.63а,55.8801576645309,37.70902435861046
Молжаниновский,Фитнес-центр,Gym / Fitness Center,"Sheraton Moscow Sheremetyevo Airport Hotel, Химки",55.94860061899114,37.41629745375591
Щукино,Паллада фитнес,Gym / Fitness Center,"ул. Маршала Бирюзова, 7, 123298",55.790891626979075,37.49690780581979
Лефортово,Up&Fly,Gymnastics Gym,Танковый проезд 4 стр 6,55.75517578057515,37.68681158709611
Лефортово,Рубикон Батут,Gym / Fitness Center,"2-й Кабельный пр., 1",55.74796938755557,37.71710894615777
Лефортово,Золотой дракон,Martial Arts Dojo,"ш. Энтузиастов, 9а",55.751686873162576,37.71233986722843
Лефортово,Физкультурно-оздоровительный центр Wellness & Spa,Gym / Fitness Center,"2-я Кабельная ул., 2, стр. 26, 111024",55.749196872688856,37.71145046173451
Косино-Ухтомский,NumberOneFit,Gym / Fitness Center,"Лухмановская, 6, 111625",55.71319920797267,37.898641681168094
Щукино,ДОН-Спорт,Gym / Fitness Center,"ул. Авиационная, 79 (ЖК Алые Паруса)",55.8067262943605,37.45064117037948
Щукино,Фитнес Центр Бенефит,Gym / Fitness Center,Живописная 58,55.80469948769171,37.45177248254916
Щукино,"Боксёрский клуб ФСК ""Раунд""",Boxing Gym,Новохорошёвский пр. д. 24 корп. 2,55.80290394959936,37.45538593754606
Щукино,Республика фитнес клуб,Gym / Fitness Center,Площадь Курчатова,55.800601053980856,37.47135277707242
Щукино,Йога Hatha в Republika Fitness,Yoga Studio,Россия,55.80004920633309,37.47094594686553
Щукино,Gud Fit,Gym / Fitness Center,"ул. Маршала Бирюзова, 20к1",55.79643692329897,37.49152980322946
Щукино,Мастер Спорта (Зебра),Gym / Fitness Center,"ул. Маршала Рыбалко, 3, 123060",55.79628062875184,37.49375023949234
Щукино,Reebok CrossFit Beard,Gym / Fitness Center,"Алабяна ул., 13, корп. 1",55.7973213676839,37.496937048611436
Сокол,Палестра Sport,Gym / Fitness Center,"2-я Песчаная ул., 4а",55.79379207740814,37.51621979346599
Лефортово,Самокат,Gym / Fitness Center,"Самокатная ул., 2, корп. 1, 111033",55.757907672432744,37.67682876907328
Лефортово,X-Fit,Gym / Fitness Center,"ул. Авиамоторная, 10, 111024",55.754160517736,37.71543900602148
Новогиреево,Фитнес-клуб «Фитнес Сити»,Gym,"Кусковская, 20а, корп. В, Бизнес-центр ""Кусково"".",55.741208474344006,37.78554374882372
Косино-Ухтомский,Территория фитнеса,Gym / Fitness Center,"Салтыковская ул., 8",55.72776022038581,37.86084542604894
Косино-Ухтомский,Sportown,Gym / Fitness Center,"ул. Медведева, 10, 111674",55.71786425646079,37.88976871589519
Лефортово,Спортзал Энергетическая 18,Gym,"Энергетическая ул., 18",55.757161319303464,37.712724005737535
Новогиреево,"Фитнес-клуб ""Атлетик""",Gym / Fitness Center,Россия,55.7436912717338,37.787530047130645
Косино-Ухтомский,ФОК Альбатрос,Gym / Fitness Center,"Лухмановская, 19а",55.72205503241442,37.891814397054965
Аэропорт,Гимнастический клуб «Динамо» им. Михаила Воронина,Gymnastics Gym,"Спортивный парк «Динамо» (Ленинградский просп., 36)",55.79029459866865,37.56498022597205
Марьина Роща,Центр йоги и здоровья Достоевская,Yoga Studio,"Улица Октябрьская, 4",55.78519472718219,37.61456296167907
Лефортово,WeGym,Gym / Fitness Center,"2-я Синичкина ул., 9а, стр. 4 (Юрьевский пер.), 111020",55.76099493643628,37.71742462789619
Новогиреево,Эра фитнес,Gym / Fitness Center,"Зеленый просп., 20",55.750223504947215,37.78733944058489
Новогиреево,Yoga Practika,Yoga Studio,"Зелёный просп., 22",55.74789271948126,37.800635738795854
Новокосино,"Спортивный комплекс ""Надежда""",Gym,"Новокосинская улица 6а, 111673",55.733164474924614,37.85619330629584
Покровское-Стрешнево,Тренажерный зал МГТУ Банка России в Отделении 1,Gym,"Волоколамское Шоссе, 75, город Москва",55.82568071430345,37.42579116020684
