Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price
Савёловский,САО,Муниципальный округ,45277586,45344000,2.7,59586,22068,1120.0,19.2,55.8031846,37.562045664475775,200555.0
Свиблово,СВАО,Муниципальный округ,45280580,45361000,4.41,62981,14281,956.1,15.9,55.8551194,37.652735899999996,207658.0
Северное Бутово,ЮЗАО,Муниципальный округ,45293582,45906000,9.13,95937,10507,1751.0,20.0,55.57140940000001,37.577623700000004,156238.0
Северное Измайлово,ВАО,Муниципальный округ,45263585,45313000,4.2,88007,20954,1624.3,19.1,55.8067811,37.8033479,154447.0
Северное Медведково,СВАО,Муниципальный округ,45280583,45362000,5.66,127986,22612,1764.0,14.5,55.889663,37.6529265,160444.0
Северное Тушино,СЗАО,Муниципальный округ,45283573,45369000,9.4,166217,17682,2665.5,17.4,55.8632245,37.427937299999996,165888.0
Северный,СВАО,Муниципальный округ,45280585,45363000,10.29,38633,3754,620.0,22.2,55.9278692,37.5466963,120878.0
Сокол,САО,Муниципальный округ,45277589,45345000,3.72,60171,16175,1163.5,20.2,55.805006299999995,37.5056244,218854.0
Соколиная Гора,ВАО,Муниципальный округ,45263588,45314000,7.84,92337,11777,1422.0,16.3,55.7713307,37.745091200000005,190020.0
Сокольники,ВАО,Муниципальный округ,45263591,45315000,10.28,61649,5996,1247.2,21.7,55.788811200000005,37.6802722,235135.0
Солнцево,ЗАО,Муниципальный округ,45268588,45326000,11.29,126901,11240,2058.4,17.7,55.6496916,37.391217700000006,133645.0
Строгино,СЗАО,Муниципальный округ,45283577,45370000,16.84,161298,9578,2406.2,15.8,55.803691799999996,37.4031404,200878.0
Таганский,ЦАО,Муниципальный округ,45286580,45381000,8.01,123532,15422,2380.6,20.5,55.74113715,37.662804734215776,284020.0
Тверской,ЦАО,Муниципальный округ,45286585,45382000,7.27,77947,10721,1253.3,16.4,55.76624995,37.607498739437816,386255.0
Текстильщики,ЮВАО,Муниципальный округ,45290590,45395000,5.92,105398,17803,1638.7,16.3,55.708845700000005,37.7315088,151307.0
Тёплый Стан,ЮЗАО,Муниципальный округ,45293586,45907000,7.5,134562,17941,2406.4,19.1,55.6188149,37.5082645,167524.0
Тимирязевский,САО,Муниципальный округ,45277592,45346000,10.43,83824,8036,1836.2,22.2,55.8312264,37.553079600000004,192644.0
Тропарёво-Никулино,ЗАО,Муниципальный округ,45268592,45327000,11.27,124287,11028,2895.2,24.4,55.6458937,37.472618100000005,225256.0
